model_name,score_kind,ask_filter,threshold,folds,trades,wins,pnl,pnl_1c,pnl_2c,win_rate,avg_ask
winprob_hgb,win_prob,ask_20_50,0.04,5,47,15,-3.249999999999999,-3.7199999999999998,-4.19,0.3191489361702128,0.3882978723404255
winprob_hgb,win_prob,ask_15_70,0.04,5,55,21,-3.12,-3.6700000000000004,-4.220000000000001,0.38181818181818183,0.43854545454545457
winprob_hgb,win_prob,ask_20_60,0.02,5,49,17,-3.2500000000000004,-3.740000000000001,-4.230000000000001,0.3469387755102041,0.413265306122449
value_logistic,value_class,ask_15_70,0.55,5,44,24,-3.39,-3.8300000000000005,-4.270000000000001,0.5454545454545454,0.6225
value_hgb,value_class,ask_25_55,0.58,5,38,14,-3.58,-3.96,-4.34,0.3684210526315789,0.4626315789473684
value_logistic,value_class,ask_20_60,0.5,5,34,15,-3.8,-4.140000000000001,-4.48,0.4411764705882353,0.5529411764705883
value_hgb,value_class,ask_20_50,0.65,5,33,10,-3.8499999999999996,-4.18,-4.51,0.30303030303030304,0.4196969696969697
value_logistic,value_class,ask_20_60,0.52,5,34,15,-3.84,-4.180000000000001,-4.5200000000000005,0.4411764705882353,0.5541176470588235
value_hgb,value_class,ask_20_60,0.48,5,48,18,-3.5700000000000007,-4.050000000000001,-4.530000000000001,0.375,0.449375
winprob_logistic,win_prob,ask_20_50,0.02,5,26,6,-4.05,-4.3100000000000005,-4.57,0.23076923076923078,0.3865384615384615
winprob_hgb,win_prob,ask_20_60,0.0,5,50,17,-3.58,-4.080000000000001,-4.580000000000001,0.34,0.4116
winprob_logistic,win_prob,ask_25_55,0.02,5,27,7,-4.08,-4.3500000000000005,-4.62,0.25925925925925924,0.4103703703703704
winprob_hgb,win_prob,ask_25_55,0.04,5,44,15,-3.76,-4.2,-4.640000000000001,0.3409090909090909,0.42636363636363633
winprob_hgb,win_prob,ask_25_55,0.06,5,44,15,-3.76,-4.2,-4.640000000000001,0.3409090909090909,0.42636363636363633
winprob_logistic,win_prob,ask_20_60,0.02,5,30,9,-4.05,-4.35,-4.65,0.3,0.435
winprob_hgb,win_prob,ask_20_50,0.0,5,49,15,-3.7199999999999993,-4.21,-4.7,0.30612244897959184,0.3820408163265306
value_hgb,value_class,ask_20_50,0.52,5,44,14,-3.8599999999999994,-4.3,-4.74,0.3181818181818182,0.4059090909090909
value_hgb,value_class,ask_20_60,0.52,5,48,18,-3.8300000000000005,-4.3100000000000005,-4.790000000000001,0.375,0.4547916666666667
value_hgb,value_class,ask_25_55,0.65,5,35,12,-4.1899999999999995,-4.54,-4.890000000000001,0.34285714285714286,0.46257142857142863
value_hgb,value_class,ask_20_50,0.62,5,35,10,-4.4,-4.75,-5.1000000000000005,0.2857142857142857,0.4114285714285714
value_hgb,value_class,ask_20_50,0.48,5,45,14,-4.209999999999999,-4.66,-5.11,0.3111111111111111,0.4046666666666667
winprob_logistic,win_prob,ask_20_50,-0.02,5,33,8,-4.6,-4.93,-5.26,0.24242424242424243,0.38181818181818183
winprob_logistic,win_prob,ask_25_55,-0.02,5,34,10,-4.66,-5.0,-5.34,0.29411764705882354,0.43117647058823527
winprob_hgb,win_prob,ask_20_50,-0.02,5,51,15,-4.369999999999999,-4.88,-5.390000000000001,0.29411764705882354,0.37980392156862747
value_hgb,value_class,ask_25_55,0.55,5,41,14,-4.58,-4.99,-5.3999999999999995,0.34146341463414637,0.45317073170731703
value_hgb,value_class,ask_20_60,0.6,5,44,16,-4.56,-4.999999999999999,-5.44,0.36363636363636365,0.46727272727272734
value_hgb,value_class,ask_20_60,0.58,5,44,16,-4.619999999999999,-5.059999999999999,-5.500000000000001,0.36363636363636365,0.4686363636363637
winprob_logistic,win_prob,ask_15_70,0.04,5,33,12,-4.85,-5.18,-5.510000000000001,0.36363636363636365,0.5106060606060605
value_hgb,value_class,ask_15_70,0.6,5,54,22,-4.460000000000001,-5.000000000000001,-5.540000000000002,0.4074074074074074,0.4900000000000001
winprob_hgb,win_prob,ask_15_70,0.06,5,55,19,-4.47,-5.0200000000000005,-5.57,0.34545454545454546,0.42672727272727273
winprob_logistic,win_prob,ask_15_70,0.1,5,21,6,-5.33,-5.54,-5.75,0.2857142857142857,0.5395238095238094
value_hgb,value_class,ask_20_60,0.55,5,46,16,-5.209999999999999,-5.669999999999999,-6.130000000000001,0.34782608695652173,0.46108695652173914
